pick,order
5,Christian McCaffrey|Puka Nacua
16,Saquon Barkley|De'Von Achane|Justin Jefferson|Derrick Henry|CeeDee Lamb
27,Rashee Rice|Malik Nabers|Chris Olave|DeVonta Smith|Ladd McConkey
34,Travis Etienne Jr.|Kyren Williams|Javonte Williams|Breece Hall
47,Zay Flowers|Jaylen Waddle|D'Andre Swift|Quinshon Judkins|Bucky Irving
54,DJ Moore|Jaylen Waddle|David Montgomery|TreVeyon Henderson
65,Christian Watson|Jaylen Warren|David Montgomery
74,Patrick Mahomes|Jaylen Warren|Kenny Gainwell
85,Dallas Goedert|George Kittle|Travis Kelce
87,Quentin Johnston|Jake Ferguson|Rachaad White
105,Quentin Johnston|Travis Hunter|Rachaad White
116,Travis Hunter|Jerry Jeudy|Keenan Allen
125,Tre Tucker|Rashid Shaheed
136,Kyler Murray|MarShawn Lloyd|Denzel Boston
145,MarShawn Lloyd|Calvin Ridley
