view_id,player,weight,q,confidence,rationale,date
v01_judkins,Quinshon Judkins,1,12.36,medium,"Highest 8+ box rate in NFL (45.2%) and dead-last team YBC (0.65) are situation artifacts; OL added Fano/Zion Johnson/Jenkins, Concepcion+Boston added, Njoku gone. Age 23 vs modern RB peak 24.35 (SS28). Counter: not a bell cow - 50.3% snaps, 11 third-down routes, Sampson out-targeted him 40-33.",2026-08-09
v03_jt,Jonathan Taylor,1,17.58,medium,Daniel Jones healthy and efficient in camp; no competition for the lead job (Giddens/McGowan both dropping passes). Sized below the owner's enthusiasm because 0.73 team rush share has never repeated (0/11 since 2015) and the Colts staff has said on record they want to trim it.,2026-08-09
v04_cmc,Christian McCaffrey,1,19.8,low,"Injury fear overpriced; healthy all camp, no competition. Age discounted less given SS28 finds no later cliff but also no earlier-than-market pricing. Low confidence: SF has publicly committed to load management.",2026-08-09
v05_lamb,CeeDee Lamb,1,16.0,medium,"Owner's explicit number: Lamb and Pickens are both ~16 PPG receivers, not 20 PPG receivers, sharing one offence.",2026-08-09
v06_pickens,George Pickens,1,16.0,medium,"Owner's explicit number, same view from the other side. On the $27.3M franchise tag, contract year.",2026-08-09
v07_jsn,Jaxon Smith-Njigba,1,17.59,medium,"Owner has him 8th overall vs market 6th. Darnold's low pass volume, Seattle regression off a ceiling season, Kupp gone as a playmaker.",2026-08-09
v08_arsb,Amon-Ra St. Brown,1,19.28,medium,Owner has him 5th overall vs market 7th.,2026-08-09
v09_barkley,Saquon Barkley,1,15.99,medium,2024's ~480 touches explain the 2025 dip; full participant through Day 8 with no rest days reported. Mannion's under-centre misdirection scheme is volume-friendly. Note SS28: prior-season workload does not separate from mean reversion.,2026-08-09
v10_rice,Rashee Rice,1,18.14,medium,"Confirmed no 2026 suspension (served 2025, NFL closed the matter April 2026). Mahomes' alpha, age-23 improvement curve. Knee rehab is the live risk, not eligibility.",2026-08-09
v12_skattebo,Cam Skattebo,1,14.42,medium,"FLIPPED from a -0.5 injury fade. Declared good to go at camp open, fully recovered from the 2025 ankle, taking first-team reps in nearly every drill. Now dominates carries vs 2025 near-even split; Harbaugh Derrick Henry history, 300+ carries floated. Tracy/Singletary keep third downs.",2026-08-09
v13_javonte,Javonte Williams,1,14.42,medium,"2025 is the representative season: 252 carries, 1201 yds, 4.77 YPC, 13 TD, 15.18 PPG. mu-hat is dragged down by 2023-24 Denver years (11.20/9.29). Re-signed 3yr/$24M, Dallas drafted no RB. Caveats: 54% team carry share is lead-back not bell-cow, and receptions fell 52 to 35.",2026-08-09
v14_devonta,DeVonta Smith,1,15.69,medium,"A.J. Brown traded to NE. Undisputed WR1 for the first time in his career, 130+ target projection. All five years of his history are as the No. 2.",2026-08-09
v16_evans,Mike Evans,1,14.03,medium,"Pearsall out for the season (PCL surgery Aug 1), Kirk strained calf. The room collapsed around him; target volume has nowhere else to go.",2026-08-09
v17_djmoore,DJ Moore,1,14.18,medium,"Chicago chaos to Josh Allen. ""Spectacular"" camp; the answer to Buffalo’s post-Diggs perimeter void.",2026-08-09
